도서관명,시도명,시군구명,도서관유형명,휴관일정보,운영시작시각,운영종료시각,열람좌석수,도서자료수,연속간행물자료수,비도서자료수,대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,WGS84위도,WGS84경도,데이터기준일자
중앙도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",07:00,24:00,556,"264,510",168,"3,038",7,21,경기도 용인시 처인구 명지로 27(역북동),경기도 용인시청,031-324-4610,9944,3608,https://www.yonginlib.go.kr/yongin/main.asp,37.23348078,127.1904015,2016-03-31
포곡도서관,경기도,용인시,공공도서관,"1,3주 월요일 국가지정 공휴일",07:00,22:00,358,"126,615",82,"2,644",7,21,경기도 용인시 처인구 포곡읍 포곡로278번길 8,경기도 용인시청,031-324-4631,2747,2733,https://www.yonginlib.go.kr/pogok/main.asp,37.27891528,127.2325655,2016-03-31
모현도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",07:00,22:00,250,"63,378",65,747,7,21,경기도 용인시 처인구 모현면 백옥대로 2378,경기도 용인시청,031-324-4351,1627,2728,https://www.yonginlib.go.kr/mohyeon/main.asp,37.33560959,127.2496259,2016-03-31
보라도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",07:00,24:00,540,"76,566",114,678,7,21,경기도 용인시 기흥구 한보라2로 116(보라동),경기도 용인시청,031-324-4331,87722,4316,https://www.yonginlib.go.kr/bora/main.asp,37.24841486,127.1090246,2016-03-31
디지털도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",10:00,19:00,44,"9,093",27,"25,554",7,21,경기도 용인시 처인구 중부대로 1199(삼가동),경기도 용인시청,031-324-4621,81403,382.8,https://www.yonginlib.go.kr/digitallib/main.asp,37.24086706,127.1779688,2016-03-31
청덕도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",09:00,22:00,174,24304,63,393,7,21,경기도 용인시 기흥구 구성1로 44(청덕동),경기도 용인시청,031-284-1763,3366,1981,http://www.yonginlib.go.kr/cheongdeok/main.asp,37.2924046,127.14385,2016-03-31
수지도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",07:00,24:00,848,"194,473",119,"2,718",7,21,경기도 용인시 수지구 문정로7번길 23(풍덕천동),경기도 용인시청,031-324-8971,15538,5059,https://www.yonginlib.go.kr/suji/main.asp,37.32027602,127.0946874,2016-03-31
구성도서관,경기도,용인시,공공도서관,"1,3주 월요일 국가지정 공휴일",07:00,24:00,493,"116,318",90,"3,374",7,21,경기도 용인시 기흥구 구성로77번길 17(언남동),경기도 용인시청,031-324-4131,8937,2775,https://www.yonginlib.go.kr/guseong/main.asp,37.2967623,127.1189833,2016-03-31
죽전도서관,경기도,용인시,공공도서관,"1,3주 월요일 국가지정 공휴일",07:00,24:00,471,"124,284",110,"2,521",7,21,경기도 용인시 수지구 대지로 89(죽전동),경기도 용인시청,031-324-4641,6490,4965,https://www.yonginlib.go.kr/jukjeon/main.asp,37.3304325,127.1186256,2016-03-31
동백도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",07:00,24:00,481,"109,227",105,"3,118",7,21,경기도 용인시 기흥구 동백3로 80(동백동),경기도 용인시청,031-324-4651,41326,5560,https://www.yonginlib.go.kr/dongbaek/main.asp,37.27414738,127.1580497,2016-03-31
기흥도서관,경기도,용인시,공공도서관,"1,3주 월요일 국가지정 공휴일",07:00,24:00,517,"118,125",107,"2,327",7,21,경기도 용인시 기흥구 기흥로116번길 10(신갈동),경기도 용인시청,031-324-4753,13200,6607,https://www.yonginlib.go.kr/giheung/,37.2861786,127.1135988,2016-03-31
흥덕도서관,경기도,용인시,공공도서관,"2,4주 월요일 국가지정 공휴일",07:00,24:00,540,"52,908",105,343,7,21,경기도 용인시 기흥구 흥덕중앙로 153(영덕동),경기도 용인시청,031-324-4141,3674,4494,https://www.yonginlib.go.kr/heungdeok/,37.27498361,127.0839282,2016-03-31
상현도서관,경기도,용인시,공공도서관,"1,3주 월요일 국가지정 공휴일",07:00,24:00,580,"51,978",106,456,7,21,경기도 용인시 수지구 법조로 232(상현동),경기도 용인시청,031-324-4121,5435,6813,https://www.yonginlib.go.kr/sanghyeon/,37.29995963,127.0742876,2016-03-31
구갈희망누리도서관,경기도,용인시,공공도서관,매주 일요일  국가지정공휴일,09:00,18:00,64,"35,088",12,0,7,21,경기도 용인시 기흥구 갈곡로12번길 1(구갈동),경기도 용인시청,031-324-6561,357,264,https://www.yonginlib.go.kr/gugal/,37.27274393,127.1295574,2016-03-31
